"","Price","Condo","Size","Rooms","Toilets","Suites","Parking","Elevator","Furnished","Swimming.Pool","New","Sale","District","Latitude","Longitude","Cluster_Silhouette"
"5",1300,410,55,2,2,1,1,"1","0","0","0",FALSE,"Artur Alvim/São Paulo",-23.525025,-46.482436,1
"9153",1300,350,50,1,2,1,1,"1","0","0","0",FALSE,"Brás/São Paulo",-23.547097,-46.624788,1
"11782",1279000,0,110,3,3,1,2,"1","0","1","0",TRUE,"Vila Mariana/São Paulo",-23.580941,-46.633097,2
"5194",1797,1183,102,3,3,1,1,"1","1","1","0",FALSE,"Mooca/São Paulo",-23.550422,-46.583686,5
"5217",1100,617,78,2,2,1,1,"0","0","0","0",FALSE,"Mooca/São Paulo",-23.553657,-46.622022,6
"9958",2000,1050,50,1,2,1,1,"0","0","1","0",FALSE,"Moema/São Paulo",-23.606741,-46.663252,2
"10507",1250,372,51,1,1,0,1,"0","0","0","0",FALSE,"Cambuci/São Paulo",-23.5655857,-46.6238971,4
"5700",590000,0,100,3,3,0,2,"1","0","1","1",TRUE,"Casa Verde/São Paulo",-23.518678,-46.667704,2
"7312",1835500,0,148,3,4,3,2,"1","0","1","0",TRUE,"Moema/São Paulo",-23.610053,-46.663977,7
"12300",1650000,1055,213,4,5,4,4,"1","0","1","0",TRUE,"Santana/São Paulo",0,0,7
"3071",950,250,63,2,1,0,1,"0","0","0","0",FALSE,"Ermelino Matarazzo/São Paulo",0,0,4
"262",1200,490,88,3,2,1,1,"1","0","0","0",FALSE,"Itaquera/São Paulo",-23.531855,-46.443749,1
"3037",2200,0,65,3,2,1,1,"0","0","1","0",FALSE,"Carrão/São Paulo",-23.5544692,-46.5453318,2
"872",1500,0,43,2,2,1,1,"1","0","1","0",FALSE,"Campo Limpo/São Paulo",-23.627833,-46.767245,5
"8979",960000,1200,134,3,2,1,1,"0","0","0","0",TRUE,"Perdizes/São Paulo",-23.5401604,-46.6702041,8
